date,sentiment_corporate,sentiment_energy,sentiment_forex,sentiment_macro,news_count
2011-01-24,0.3648,-0.9167,0.4473,-0.4562,4
2011-01-25,-0.7245,0.9086,0.08,-0.3878,3
2011-01-26,-0.0346,0.636,0.064,-0.3296,1
2011-01-27,-0.0242,0.4452,-0.9283,0.4712,3
2011-01-28,0.0155,0.3116,-0.7426,0.4005,1
2011-01-29,0.0108,-0.1131,-0.5941,0.0002,5
2011-01-30,-0.8464,-0.0792,-0.4753,0.1333,2
2011-01-31,-0.5925,-0.0554,-0.3802,0.2089,1
2011-02-01,-0.4147,0.1991,-0.3042,0.1776,1
2011-02-02,-0.148,0.1394,-0.2433,0.8065,2
2011-02-03,-0.1036,0.0976,-0.1947,0.6855,0
2011-02-04,-0.0725,0.0683,-0.1557,0.5827,0
2011-02-05,-0.6746,-0.934,-0.1246,0.4953,2
2011-02-06,-0.4722,0.827,-0.0997,0.421,1
2011-02-07,-0.0187,0.5789,-0.0797,0.3578,1
2011-02-08,0.256,0.4052,-0.0638,0.3042,2
2011-02-09,0.1792,-0.8094,-0.8839,0.2585,2
2011-02-10,0.1254,-0.5666,-0.4685,0.2198,1
2011-02-11,0.0878,-0.3966,-0.3748,0.1868,0
2011-02-12,0.7136,-0.2776,-0.2998,0.0616,2
2011-02-13,0.2798,-0.1943,0.1969,0.0524,2
2011-02-14,-0.4787,-0.1434,-0.0997,-0.0963,5
2011-02-15,-0.3351,-0.1004,-0.0284,-0.0634,2
2011-02-16,-0.2346,-0.0703,-0.0227,-0.0539,0
2011-02-17,0.3847,-0.0492,-0.0182,-0.0458,1
2011-02-18,-0.1013,-0.0344,-0.0145,-0.0389,1
2011-02-19,-0.0709,-0.0241,-0.0116,-0.0331,0
2011-02-20,-0.0046,0.9322,-0.0093,-0.0281,2
2011-02-21,0.0659,-0.1951,-0.0074,-0.0239,3
2011-02-22,-0.8704,0.0538,-0.9524,-0.0203,3
2011-02-23,-0.4504,0.0125,0.1528,-0.5949,5
2011-02-24,0.8171,-0.0058,0.1222,-0.7017,5
2011-02-25,-0.9528,-0.9138,0.0978,-0.5964,2
2011-02-26,-0.667,-0.6397,0.0782,-0.507,0
2011-02-27,-0.4669,0.7814,0.0626,-0.4309,1
2011-02-28,-0.5394,0.547,0.0501,-0.0848,3
2011-03-01,-0.3775,0.3829,0.0401,-0.0721,0
2011-03-02,0.0177,0.268,-0.0318,-0.0613,4
2011-03-03,-0.5997,-0.82,-0.0254,-0.0521,2
2011-03-04,-0.4198,-0.574,-0.0204,0.061,1
2011-03-05,0.0246,-0.4018,-0.0163,0.0518,6
2011-03-06,0.0172,-0.2813,-0.013,0.0441,0
2011-03-07,-0.4242,-0.1969,-0.0104,-0.8774,3
2011-03-08,0.0526,-0.1378,-0.9281,-0.4036,3
2011-03-09,-0.7526,-0.0965,0.8823,-0.3431,2
2011-03-10,-0.5268,-0.8709,0.7058,-0.2916,1
2011-03-11,-0.3688,0.9087,0.5647,-0.2479,1
2011-03-12,-0.2581,-0.0649,-0.9301,-0.2107,2
2011-03-13,-0.1807,-0.0454,-0.7441,-0.1791,0
2011-03-14,-0.0109,-0.0318,0.1449,0.0257,3
2011-03-15,-0.5402,-0.0223,0.1451,0.0218,2
2011-03-16,-0.3781,-0.0156,0.1161,0.016,1
2011-03-17,0.781,-0.0109,0.0929,0.0136,1
2011-03-18,-0.182,-0.0076,0.0743,-0.0018,3
2011-03-19,0.0472,-0.0053,0.0594,-0.0015,2
2011-03-20,0.033,-0.0037,-0.7892,0.0774,2
